Business_Name,Owner_Name,Reported_Revenue,Employees_Reported,Taxes_Paid,Filing_Status
Silver State Contractors 29,Michael Johnson,1531823,72,71760,Filed
QuickFix Auto 60,Jane Smith,912581,79,50911,Not Filed
Elite Consulting 36,Jane Martinez,307567,26,194182,Filed
QuickFix Auto 18,Robert Martinez,1016968,79,131499,Filed
Elite Consulting 15,Daniel Miller,1015668,77,140221,Filed
QuickFix Auto 28,Jane Hernandez,1288869,77,160009,Under Review
Sunrise Cafe 52,Jane Williams,387083,12,82860,Not Filed
Elite Consulting 41,John Jones,1407440,61,108116,Filed
Vegas Retail Hub 54,David Johnson,1603717,70,12898,Not Filed
Elite Consulting 63,Sarah Miller,707828,26,8435,Not Filed
Elite Consulting 64,Laura Smith,1406214,45,107963,Not Filed
QuickFix Auto 73,Jane Davis,870721,50,172484,Under Review
Elite Consulting 56,Sarah Garcia,1647787,36,154788,Under Review
QuickFix Auto 25,Jane Brown,1974105,42,70303,Not Filed
Vegas Retail Hub 88,Jessica Miller,877873,100,13196,Not Filed
Sunrise Cafe 22,Sarah Brown,1223255,16,177285,Under Review
Vegas Retail Hub 17,Sarah Jones,646639,21,41182,Filed
QuickFix Auto 15,Laura Davis,1211982,42,69860,Not Filed
Sunrise Cafe 50,Emily Miller,1958691,7,194153,Filed
Silver State Contractors 10,Sarah Jones,1025660,87,99517,Not Filed
QuickFix Auto 10,Jane Hernandez,1984155,69,66739,Under Review
QuickFix Auto 80,Daniel Johnson,467904,6,102314,Not Filed
Silver State Contractors 94,Sarah Martinez,56027,93,41247,Not Filed
Silver State Contractors 7,David Jones,273234,97,23911,Not Filed
Elite Consulting 65,Jane Johnson,1078454,14,130742,Under Review
Silver State Contractors 73,Laura Brown,258173,78,98579,Under Review
Vegas Retail Hub 1,Sarah Smith,1597338,90,31629,Filed
Silver State Contractors 57,Jessica Williams,223410,2,17336,Under Review
QuickFix Auto 89,Laura Brown,1991603,92,7869,Under Review
Vegas Retail Hub 54,Laura Garcia,464031,25,68347,Filed
Sunrise Cafe 49,Daniel Jones,122230,49,54128,Under Review
Silver State Contractors 76,Jane Miller,444690,98,37771,Under Review
Sunrise Cafe 33,Daniel Martinez,793239,85,93193,Under Review
QuickFix Auto 98,Daniel Martinez,1180369,86,87014,Under Review
Vegas Retail Hub 42,Robert Garcia,113872,52,152592,Under Review
Sunrise Cafe 83,David Martinez,1324833,47,168713,Filed
Sunrise Cafe 76,David Johnson,425680,68,88939,Under Review
Vegas Retail Hub 60,Michael Martinez,444605,39,11396,Filed
Silver State Contractors 60,David Johnson,1033341,28,158109,Filed
Sunrise Cafe 11,John Hernandez,495101,45,59045,Under Review
Silver State Contractors 48,Robert Brown,627285,82,37161,Under Review
Silver State Contractors 66,Robert Davis,191846,50,88161,Not Filed
Elite Consulting 67,Michael Brown,919527,16,57394,Filed
Sunrise Cafe 52,Robert Johnson,928584,34,56141,Under Review
Sunrise Cafe 93,Jessica Martinez,473248,51,91060,Filed
QuickFix Auto 16,Jessica Johnson,724565,55,72064,Filed
Silver State Contractors 25,Sarah Johnson,1942012,4,68030,Not Filed
Sunrise Cafe 44,Jessica Hernandez,493349,35,150828,Under Review
Silver State Contractors 98,Emily Garcia,543543,70,24388,Filed
Elite Consulting 84,Laura Garcia,942128,7,75452,Under Review
QuickFix Auto 13,Laura Johnson,394913,83,21636,Filed
Elite Consulting 34,Robert Johnson,1690082,68,134500,Under Review
Sunrise Cafe 73,Robert Williams,1678601,34,103306,Under Review
Sunrise Cafe 28,Daniel Williams,1008732,70,146222,Not Filed
QuickFix Auto 22,David Jones,439672,43,29101,Filed
Silver State Contractors 6,Robert Davis,1530572,26,165421,Filed
Vegas Retail Hub 62,Michael Jones,1505786,67,124621,Filed
QuickFix Auto 40,Michael Jones,234565,71,111905,Not Filed
Elite Consulting 80,Jessica Smith,1554732,54,59563,Not Filed
QuickFix Auto 44,Robert Hernandez,1335229,55,21931,Under Review
Sunrise Cafe 54,John Smith,431768,15,159200,Under Review
Silver State Contractors 13,Laura Williams,1594078,94,194010,Under Review
QuickFix Auto 16,Daniel Williams,652421,71,74643,Not Filed
QuickFix Auto 5,David Davis,1328622,26,75502,Filed
Vegas Retail Hub 47,Jane Williams,450777,64,104188,Under Review
Silver State Contractors 86,Laura Brown,640249,15,72033,Filed
Elite Consulting 62,John Martinez,785783,57,43478,Not Filed
QuickFix Auto 9,David Martinez,234925,11,133204,Under Review
Sunrise Cafe 45,Sarah Brown,172324,33,152564,Filed
Vegas Retail Hub 40,Sarah Williams,107264,48,66665,Under Review
Elite Consulting 87,John Jones,1585725,30,179838,Not Filed
Silver State Contractors 64,John Williams,1575465,99,117222,Not Filed
Elite Consulting 20,Emily Hernandez,202735,91,9030,Not Filed
Vegas Retail Hub 71,Michael Garcia,348156,59,122282,Filed
Sunrise Cafe 68,David Brown,219766,83,157775,Filed
Silver State Contractors 71,John Brown,1744216,63,22416,Not Filed
Sunrise Cafe 3,Emily Johnson,397970,42,126285,Not Filed
QuickFix Auto 29,Robert Hernandez,625002,88,89603,Filed
QuickFix Auto 86,John Williams,456753,5,96570,Not Filed
Silver State Contractors 74,Daniel Miller,178244,95,115970,Not Filed
Sunrise Cafe 44,Robert Brown,1831356,44,127211,Filed
Elite Consulting 7,Emily Johnson,1174663,83,41758,Filed
QuickFix Auto 1,Jane Garcia,1150664,14,140051,Under Review
QuickFix Auto 89,Robert Smith,693451,48,159483,Not Filed
QuickFix Auto 57,Jessica Johnson,353637,45,38190,Under Review
Silver State Contractors 43,David Martinez,682388,14,48126,Under Review
QuickFix Auto 41,Daniel Williams,610658,17,198320,Under Review
Vegas Retail Hub 16,David Smith,794838,75,125605,Under Review
QuickFix Auto 37,Jessica Hernandez,1838871,14,196034,Filed
Elite Consulting 26,Laura Johnson,1041847,47,19105,Not Filed
Sunrise Cafe 34,Jane Smith,740875,79,138034,Under Review
Elite Consulting 7,Michael Davis,1347962,75,140761,Not Filed
Sunrise Cafe 27,Emily Garcia,1881411,27,130212,Filed
Silver State Contractors 53,Jessica Johnson,763653,74,160178,Filed
QuickFix Auto 2,Daniel Williams,343747,73,99873,Under Review
Vegas Retail Hub 16,Michael Jones,491936,57,132530,Under Review
Silver State Contractors 56,David Johnson,189283,63,67278,Not Filed
Silver State Contractors 57,Jessica Brown,618658,35,92732,Not Filed
Elite Consulting 22,Sarah Davis,59153,82,168340,Filed
Silver State Contractors 87,Jessica Martinez,825371,10,199473,Under Review
Elite Consulting 28,Sarah Brown,1945969,91,80849,Under Review
Elite Consulting 2,Jessica Martinez,1295859,56,179170,Under Review
Vegas Retail Hub 12,Robert Williams,1226839,96,174255,Filed
Elite Consulting 11,Laura Williams,281969,72,99913,Not Filed
Elite Consulting 37,Daniel Jones,1237747,27,46365,Under Review
Elite Consulting 72,Robert Hernandez,1804189,85,147603,Under Review
QuickFix Auto 54,Jessica Davis,948910,6,168365,Under Review
Silver State Contractors 41,Michael Brown,858735,60,93121,Not Filed
Sunrise Cafe 64,Daniel Brown,1739086,18,62493,Under Review
Sunrise Cafe 7,Daniel Hernandez,778617,92,67379,Under Review
QuickFix Auto 91,Jane Smith,804528,77,47766,Not Filed
